WC_Location,WorkCenter,Date_Wrk,Shift_Wrk,Part_Num,unitperHr,cycle_time(mins),UpQty,scrap,schMins,PlannedDownMins,stopTime,ExpectedRun,ActualRunTime,OEEAvailability,ActualPerformance,ExpectedPerformance,OEEPerformance,OEEQuality
Mytox 1,220-C1UX WELDING,2023-03-31 00:00:00,2,G46GL106,91.00,0.66,304,4,120,0,0,120,120,1,304,181.8181818181818,1.6720000000000002,0.9868421052631579
Mytox 1,220-C1UX WELDING,2023-03-31 00:00:00,2,G47GR106,91.00,0.66,304,4,120,0,0,120,120,1,304,181.8181818181818,1.6720000000000002,0.9868421052631579
Mytox 1,220-C1UX WELDING,2023-03-31 00:00:00,2,G64GL006,125.00,0.48,304,4,120,0,0,120,120,1,304,250,1.216,0.9868421052631579
Mytox 1,220-C1UX WELDING,2023-03-31 00:00:00,2,G65GR006,125.00,0.48,304,4,120,0,0,120,120,1,304,250,1.216,0.9868421052631579
Mytox 1,224-BD009 & P053,2023-03-31 00:00:00,2,N28GC140,100.00,0.6,462,0,240,0,0,240,240,1,462,400,1.155,1
Mytox 1,233-0060P107,2023-03-31 00:00:00,1,P06BR306,100.00,0.6,1275,10,720,0,0,670,670,1,1275,1116.6666666666667,1.1417910447761193,0.9921568627450981
Mytox 1,233-0060P107,2023-03-31 00:00:00,1,P07BL306,100.00,0.6,1150,10,720,0,0,670,670,1,1150,1116.6666666666667,1.0298507462686566,0.991304347826087
Mytox 1,240-0200P024,2023-03-31 00:00:00,3,T78GL126,184.00,0.33,939,3,480,0,90,430,340,0.7906976744186046,939,1030.3030303030303,0.9113823529411765,0.9968051118210862
Mytox 1,240-0200P024,2023-03-31 00:00:00,3,T78GR126,184.00,0.33,942,6,480,0,90,430,340,0.7906976744186046,942,1030.3030303030303,0.9142941176470588,0.9936305732484076
Mytox 1,253-POLYCON ASSEMBLY,2023-03-31 00:00:00,1,P84BU006,100.00,0.6,930,5,480,0,0,430,430,1,930,716.6666666666667,1.297674418604651,0.9946236559139785
Mytox 1,262-WS WELDER,2023-03-31 00:00:00,1,CW2MU002,29.00,2.07,203,0,480,0,0,430,430,1,203,207.72946859903382,0.9772325581395348,1
Mytox 1,262-WS WELDER,2023-03-31 00:00:00,2,CW2MU002,29.00,2.07,184,3,480,90,0,340,340,1,184,164.2512077294686,1.120235294117647,0.9836956521739131
Mytox 1,272-ANOTECH ROLLING MILL #15,2023-03-31 00:00:00,1,N24GU110,900.00,0.07,1220,20,270,165,0,105,105,1,1220,1499.9999999999998,0.8133333333333335,0.9836065573770492
Mytox 1,272-ANOTECH ROLLING MILL #15,2023-03-31 00:00:00,1,N28GU040,325.00,0.18,700,0,210,0,30,210,180,0.8571428571428571,700,1000,0.7,1
Mytox 1,272-ANOTECH ROLLING MILL #15,2023-03-31 00:00:00,2,N24GU110,900.00,0.07,4180,10,480,30,60,400,340,0.85,4180,4857.142857142857,0.8605882352941177,0.9976076555023924
Mytox 1,275-DS WELDER,2023-03-31 00:00:00,1,DDSMU702,41.00,1.46,412,0,960,30,0,880,880,1,412,602.7397260273973,0.6835454545454545,1
Mytox 1,275-DS WELDER,2023-03-31 00:00:00,2,DDSMU702,41.00,1.46,378,0,960,405,0,505,505,1,378,345.8904109589041,1.092831683168317,1
Mytox 1,292-0100P002,2023-03-31 00:00:00,1,FL4MU001,1838.00,0.03,47400,0,480,90,75,340,265,0.7794117647058824,47400,8833.333333333334,5.366037735849056,1
Mytox 1,294-SW027,2023-03-31 00:00:00,1,N14GR022,200.00,0.3,605,5,240,0,30,240,210,0.875,605,700,0.8642857142857143,0.9917355371900827
Mytox 1,294-SW027,2023-03-31 00:00:00,1,N15GL022,200.00,0.3,605,5,240,0,30,240,210,0.875,605,700,0.8642857142857143,0.9917355371900827
Mytox 1,319-MIGW DT,2023-03-31 00:00:00,1,CDTRU102,20.00,3,400,0,435,0,0,385,385,1,400,128.33333333333334,3.1168831168831166,1
Mytox 1,334-MACH L405 L EXTRUSION ALUM,2023-03-31 00:00:00,1,C94ER101,13.00,4.62,24,0,180,0,0,180,180,1,24,38.96103896103896,0.616,1
Mytox 1,335-DT ARB,2023-03-31 00:00:00,1,C82EU006,25.00,1,36,0,81,0,0,81,81,1,36,81,0.4444444444444444,1
